policy,budget_words,kind,endpoint,metric,mean,lo,hi,n_contexts,n_rotations
conditioned,20,utility,now,em,0.75,0.640625,0.84375,16,64
conditioned,20,utility,now,f1,0.8875,0.8354166666666666,0.9317708333333333,16,64
conditioned,20,utility,now,judge_correct,1.0,1.0,1.0,16,64
conditioned,20,utility,future,em,0.042708333333333334,0.03333333333333333,0.052083333333333336,16,64
conditioned,20,utility,future,f1,0.089812907000407,0.07807839765847578,0.10213313285383598,16,64
conditioned,20,utility,future,judge_correct,0.07708333333333334,0.06979166666666667,0.08541666666666667,16,64
conditioned,20,utility,gap,em,0.7072916666666667,0.6114583333333333,0.79375,16,64
conditioned,20,utility,gap,f1,0.797687092999593,0.7471919189751222,0.8438415345505189,16,64
conditioned,20,utility,gap,judge_correct,0.9229166666666667,0.9145833333333334,0.9302083333333333,16,64
conditioned,20,regret,now,em,0.046875,0.0,0.09375,16,64
conditioned,20,regret,now,f1,0.010937500000000001,-0.008854166666666668,0.03125,16,64
conditioned,20,regret,now,judge_correct,-0.015625,-0.046875,0.0,16,64
conditioned,20,regret,future,em,0.8041666666666667,0.7635416666666667,0.8395833333333333,16,64
conditioned,20,regret,future,f1,0.837513481888482,0.8152245298827331,0.860370053196225,16,64
conditioned,20,regret,future,judge_correct,0.915625,0.8989583333333334,0.9281250000000001,16,64
conditioned,20,retained,now,em,0.9322916666666666,0.8489583333333333,1.0,16,64
conditioned,20,retained,now,f1,0.9013888888888889,0.8588498263888888,0.9378472222222222,16,64
conditioned,20,retained,now,judge_correct,1.0,1.0,1.0,16,64
conditioned,20,retained,future,em,0.04987156940281941,0.03926889083139083,0.05965096101814852,16,64
conditioned,20,retained,future,f1,0.09041126573492644,0.07896535091066342,0.10234519062699868,16,64
conditioned,20,retained,future,judge_correct,0.0765224358974359,0.06923076923076923,0.08485576923076923,16,64
conditioned,20,channel,message,delivered_words,18.28125,18.015625,18.546875,16,64
conditioned,20,channel,message,fill_ratio,0.9140625,0.90078125,0.92734375,16,64
conditioned,40,utility,now,em,0.765625,0.6875,0.84375,16,64
conditioned,40,utility,now,f1,0.8802083333333333,0.8333333333333333,0.9244791666666666,16,64
conditioned,40,utility,now,judge_correct,0.984375,0.953125,1.0,16,64
conditioned,40,utility,future,em,0.06875,0.05729166666666667,0.08020833333333334,16,64
conditioned,40,utility,future,f1,0.10445346983490365,0.09048870875686134,0.1184835895058781,16,64
conditioned,40,utility,future,judge_correct,0.09583333333333333,0.08541666666666667,0.10729166666666667,16,64
conditioned,40,utility,gap,em,0.696875,0.621875,0.7708333333333334,16,64
conditioned,40,utility,gap,f1,0.7757548634984297,0.7292924051880854,0.8212249284578098,16,64
conditioned,40,utility,gap,judge_correct,0.8885416666666668,0.8489583333333335,0.9135416666666667,16,64
conditioned,40,regret,now,em,0.03125,0.0,0.078125,16,64
conditioned,40,regret,now,f1,0.018229166666666668,0.0,0.0390625,16,64
conditioned,40,regret,now,judge_correct,0.0,0.0,0.0,16,64
conditioned,40,regret,future,em,0.7781250000000001,0.7385416666666667,0.8145833333333333,16,64
conditioned,40,regret,future,f1,0.8228729190539852,0.7984677100243507,0.8481873874865603,16,64
conditioned,40,regret,future,judge_correct,0.8968750000000001,0.875,0.9135416666666667,16,64
conditioned,40,retained,now,em,0.9635416666666666,0.90625,1.0,16,64
conditioned,40,retained,now,f1,0.8940972222222222,0.8567708333333333,0.9305555555555556,16,64
conditioned,40,retained,now,judge_correct,1.0,1.0,1.0,16,64
conditioned,40,retained,future,em,0.080027697996448,0.06948420503108003,0.09109565564643689,16,64
conditioned,40,retained,future,f1,0.10394754223076177,0.09089017502883048,0.11712279005242832,16,64
conditioned,40,retained,future,judge_correct,0.0944654304029304,0.08404876373626374,0.10625,16,64
conditioned,40,channel,message,delivered_words,36.46875,36.09375,36.796875,16,64
conditioned,40,channel,message,fill_ratio,0.91171875,0.9023437500000001,0.919921875,16,64
conditioned,80,utility,now,em,0.765625,0.671875,0.859375,16,64
conditioned,80,utility,now,f1,0.8822916666666667,0.8223958333333333,0.934375,16,64
conditioned,80,utility,now,judge_correct,0.984375,0.953125,1.0,16,64
conditioned,80,utility,future,em,0.08958333333333335,0.07708333333333334,0.10416666666666667,16,64
conditioned,80,utility,future,f1,0.11893327737077737,0.10479035504426129,0.13392730750152626,16,64
conditioned,80,utility,future,judge_correct,0.11666666666666667,0.10312500000000001,0.13125,16,64
conditioned,80,utility,gap,em,0.6760416666666667,0.5875000000000001,0.7635416666666667,16,64
