comparison,treatment,control,budget_words,kind,endpoint,metric,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_generic,conditioned,generic,20,utility,now,em,0.703125,0.609375,0.78125,0.0,16,3.75
conditioned_minus_generic,conditioned,generic,20,utility,now,f1,0.7322544642857143,0.6788690476190475,0.7828124999999999,0.0,16,6.645977312052123
conditioned_minus_generic,conditioned,generic,20,utility,now,judge_correct,0.859375,0.796875,0.921875,0.0,16,6.709313001521165
conditioned_minus_generic,conditioned,generic,20,utility,future,em,-0.012499999999999999,-0.03854166666666667,0.013541666666666667,0.3727,16,-0.22344134689658174
conditioned_minus_generic,conditioned,generic,20,utility,future,f1,-0.03950008903133903,-0.0728079935833842,-0.007496789307336183,0.0169,16,-0.5623286876653397
conditioned_minus_generic,conditioned,generic,20,utility,future,judge_correct,-0.026041666666666668,-0.05104166666666667,0.0010416666666666664,0.055,16,-0.46977876750176806
conditioned_minus_generic,conditioned,generic,20,utility,gap,em,0.715625,0.6208333333333333,0.80625,0.0,16,3.6507313400809593
conditioned_minus_generic,conditioned,generic,20,utility,gap,f1,0.7717545533170533,0.716875505570818,0.8251356845556064,0.0,16,6.680919910120379
conditioned_minus_generic,conditioned,generic,20,utility,gap,judge_correct,0.8854166666666666,0.8343750000000001,0.9395833333333333,0.0,16,7.986239047530058
conditioned_minus_generic,conditioned,generic,20,regret,now,em,-0.703125,-0.78125,-0.609375,0.0,16,-3.75
conditioned_minus_generic,conditioned,generic,20,regret,now,f1,-0.7322544642857143,-0.7828124999999999,-0.6788690476190475,0.0,16,-6.645977312052123
conditioned_minus_generic,conditioned,generic,20,regret,now,judge_correct,-0.859375,-0.921875,-0.796875,0.0,16,-6.709313001521165
conditioned_minus_generic,conditioned,generic,20,regret,future,em,0.012500000000000011,-0.013541666666666667,0.038541666666666696,0.3596,16,0.2234413468965818
conditioned_minus_generic,conditioned,generic,20,regret,future,f1,0.03950008903133906,0.007496789307336236,0.07280799358338423,0.0169,16,0.56232868766534
conditioned_minus_generic,conditioned,generic,20,regret,future,judge_correct,0.026041666666666678,-0.001041666666666649,0.05104166666666667,0.0471,16,0.4697787675017683
conditioned_minus_generic,conditioned,generic,20,retained,now,em,0.8802083333333334,0.796875,0.953125,0.0,16,5.197990908549987
conditioned_minus_generic,conditioned,generic,20,retained,now,f1,0.7435391865079365,0.6950632440476191,0.7877604166666666,0.0,16,7.593086435257049
conditioned_minus_generic,conditioned,generic,20,retained,now,judge_correct,0.859375,0.796875,0.921875,0.0,16,6.709313001521165
conditioned_minus_generic,conditioned,generic,20,retained,future,em,-0.013538978382728387,-0.042943167943167944,0.01577454663392161,0.3822,16,-0.21416066339003667
conditioned_minus_generic,conditioned,generic,20,retained,future,f1,-0.03884874756526542,-0.07281100475045788,-0.006043537233269384,0.0217,16,-0.5431199170647829
conditioned_minus_generic,conditioned,generic,20,retained,future,judge_correct,-0.027157738095238096,-0.05208333333333334,-7.440476190476251e-05,0.0387,16,-0.49330090047985764
conditioned_minus_generic,conditioned,generic,20,specialisation_did,now_minus_future,em,0.715625,0.6208333333333333,0.8041666666666667,0.0,16,3.6507313400809593
conditioned_minus_generic,conditioned,generic,20,specialisation_did,now_minus_future,f1,0.7717545533170533,0.7170366236772485,0.8263834762604294,0.0,16,6.680919910120379
conditioned_minus_generic,conditioned,generic,20,specialisation_did,now_minus_future,judge_correct,0.8854166666666666,0.8343750000000001,0.9395833333333333,0.0,16,7.986239047530058
conditioned_minus_generic,conditioned,generic,40,utility,now,em,0.53125,0.4375,0.609375,0.0,16,2.9563354604710725
conditioned_minus_generic,conditioned,generic,40,utility,now,f1,0.5674107142857143,0.4918898809523809,0.6369791666666667,0.0,16,3.736167400006087
conditioned_minus_generic,conditioned,generic,40,utility,now,judge_correct,0.640625,0.546875,0.71875,0.0,16,3.5226349076952874
conditioned_minus_generic,conditioned,generic,40,utility,future,em,-0.07395833333333333,-0.11145833333333334,-0.04166666666666667,0.0001,16,-1.0058635096912762
conditioned_minus_generic,conditioned,generic,40,utility,future,f1,-0.10874097460954078,-0.1482983810553893,-0.0743267328948625,0.0,16,-1.370050766638931
conditioned_minus_generic,conditioned,generic,40,utility,future,judge_correct,-0.11041666666666666,-0.15208333333333332,-0.06979166666666668,0.0,16,-1.2963641414497542
conditioned_minus_generic,conditioned,generic,40,utility,gap,em,0.6052083333333333,0.5427083333333333,0.6687500000000001,0.0,16,4.5403928881385776
